custom/cycle,custom/agent_name,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/pamdp_timestep,custom/seed,custom/env,time/time_elapsed,custom/agent_type,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/std,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
0,"PPO-PPO",1.34,-8.45234496,2048,6144,1,"Goal-v0",2,"continuous",1,799,,,,,,,,,,,
,,1.34,-8.65278268,4096,8192,,,5,"continuous",2,763,0.0069288057,0.0003,0.07161927223205566,0.2,3.2280538082122803,0.9991377592086792,30.478476156294345,10,-5.6726909399032595,0.08212890625,-0.008531929657328874
,,1.36,-8.66185596,6144,10240,,,8,"continuous",3,709,0.00618453,0.0003,0.25986993312835693,0.2,2.877105951309204,1.0086784362792969,12.773898351937532,20,-5.694754603505134,0.06171875,-0.0065699156184564345
1,"PPO-PPO",1.53,-9.751304099999999,8192,18432,1,"Goal-v0",3,"continuous",1,675,0.0072181877,0.0003,0.5865432918071747,0.2,3.039137363433838,1.0099565982818604,6.321538333594799,30,-5.714038011431694,0.0701171875,-0.00642905436179717
,,1.67,-9.30101532,10240,20480,,,6,"continuous",2,677,0.0099121705,0.0003,0.6072800159454346,0.2,3.6801397800445557,1.0098950862884521,6.922138076648116,40,-5.71378404200077,0.1140625,-0.01073160039668437
,,1.76,-9.966170960000001,12288,22528,,,8,"continuous",3,685,0.013023456,0.0003,0.6314379870891571,0.2,4.140361309051514,1.008595585823059,7.532949860394001,50,-5.712885119020939,0.13408203125,-0.009700459749728907
2,"PPO-PPO",1.33,-8.86304422,14336,30720,1,"Goal-v0",2,"continuous",1,719,0.013707266,0.0003,0.7030243873596191,0.2,5.664360046386719,1.0074546337127686,6.4200598411262035,60,-5.707914976775646,0.145849609375,-0.010643696678744163
,,1.47,-9.14528359,16384,32768,,,5,"continuous",2,694,0.010861969,0.0003,0.5266831517219543,0.2,2.278271436691284,1.0100232362747192,11.248594577237963,70,-5.710274213552475,0.16513671875,-0.012278352001158056
,,1.29,-8.54516121,18432,34816,,,9,"continuous",3,679,0.014977879,0.0003,0.7007812857627869,0.2,3.7197797298431396,1.0084913969039917,5.6082648446783425,80,-5.713027147948742,0.1826171875,-0.011756974286981858
3,"PPO-PPO",1.47,-9.08369445,20480,43008,1,"Goal-v0",2,"continuous",1,719,0.013483038,0.0003,0.6751508116722107,0.2,4.312344551086426,1.012460470199585,6.207426044344902,90,-5.719389627873897,0.1978515625,-0.011609424532798585
,,1.51,-8.84744342,22528,45056,,,6,"continuous",2,660,0.008499382,0.0003,0.6918661594390869,0.2,1.333866834640503,1.0104931592941284,6.1702224524691704,100,-5.71612851023674,0.14326171875,-0.00984329193161102
,,1.43,-8.87816044,24576,47104,,,9,"continuous",3,651,0.013654394,0.0003,0.6261392533779144,0.2,4.724755764007568,1.007104516029358,7.546178331226111,110,-5.70826426744461,0.165966796875,-0.009528480763401603
4,"PPO-PPO",2.36,-8.400518,26624,55296,1,"Goal-v0",3,"continuous",1,662,0.017494842,0.0003,0.6220929324626923,0.2,4.39558744430542,1.0068012475967407,7.574147436022758,120,-5.699927066266537,0.214697265625,-0.013178244065784384
,,1.73,-7.59570738,28672,57344,,,5,"continuous",2,690,0.009434356,0.0003,0.4895360469818115,0.2,5.841817378997803,1.0012030601501465,16.6847720451653,130,-5.686067751049995,0.132958984375,-0.01082779683638364
,,2.1,-9.233858840000002,30720,59392,,,8,"continuous",3,696,0.0131666325,0.0003,0.5045751631259918,0.2,2.64837384223938,1.0032014846801758,16.009820809960367,140,-5.680267284810543,0.14580078125,-0.007954992915620096
5,"PPO-PPO",1.91,-8.97527493,32768,67584,1,"Goal-v0",2,"continuous",1,764,0.0102991685,0.0003,0.6032466292381287,0.2,6.877714157104492,1.002197265625,10.323969793319701,150,-5.686454716324806,0.14716796875,-0.009595843192073517
,,2.14,-8.81352984,34816,69632,,,6,"continuous",2,631,0.010700922,0.0003,0.39072275161743164,0.2,33.381813049316406,0.9898902177810669,25.43500813022256,160,-5.652707195281982,0.151171875,-0.010139131220785202
,,2.29,-9.59614721,36864,71680,,,9,"continuous",3,641,0.012688801,0.0003,0.46215009689331055,0.2,5.595177173614502,0.9818403720855713,20.374238346517085,170,-5.612552571296692,0.13935546875,-0.012093925187946298
6,"PPO-PPO",1.9,-8.984812909999999,38912,79872,1,"Goal-v0",2,"continuous",1,759,0.012630921,0.0003,0.6091828644275665,0.2,6.224015235900879,0.9734864234924316,9.925201377272606,180,-5.581807687878609,0.113916015625,-0.0053563528650556694
,,2.2,-8.836971570000001,40960,81920,,,5,"continuous",2,718,0.011843467,0.0003,0.4775804281234741,0.2,7.831729412078857,0.9682071208953857,16.244441643357277,190,-5.548059199750424,0.1162109375,-0.007536282374348957
,,1.84,-8.53017586,43008,83968,,,8,"continuous",3,702,0.009010166,0.0003,0.39809876680374146,0.2,23.39086151123047,0.9641889333724976,29.876955706626177,200,-5.5286457046866415,0.119384765625,-0.007520395985193318
7,"PPO-PPO",2.64,-8.87522967,45056,92160,1,"Goal-v0",2,"continuous",1,799,0.008260094,0.0003,0.357937216758728,0.2,27.73971176147461,0.9546778202056885,27.277320264279844,210,-5.5010332122445105,0.105029296875,-0.004786075124866329
,,2.63,-9.10942203,47104,94208,,,5,"continuous",2,788,0.0115627125,0.0003,0.40445971488952637,0.2,3.8078513145446777,0.9478737115859985,24.058427691459656,220,-5.462181437015533,0.13466796875,-0.007072209037141874
,,2.3,-8.928451749999999,49152,96256,,,7,"continuous",3,795,0.01008204,0.0003,0.33368897438049316,0.2,6.617102146148682,0.9417014718055725,31.699527382850647,230,-5.437328782677651,0.121044921875,-0.007043421396519989
8,"PPO-PPO",2.35,-8.83763101,51200,104448,1,"Goal-v0",2,"continuous",1,722,0.007378846,0.0003,0.32821857929229736,0.2,5.4791975021362305,0.9428255558013916,31.6139849178493,240,-5.428130216896534,0.095849609375,-0.00513541277468903
,,2.42,-8.02672484,53248,106496,,,5,"continuous",2,761,0.00954883,0.0003,0.30916452407836914,0.2,5.956970691680908,0.9447644948959351,38.93179037719965,250,-5.427462896704673,0.106787109375,-0.00893990983022377
,,2.37,-7.405340460000002,55296,108544,,,8,"continuous",3,744,0.009550155,0.0003,0.3073039650917053,0.2,53.38762283325195,0.9460277557373047,43.256636309623715,260,-5.43757953196764,0.108154296875,-0.003079989485559054
9,"PPO-PPO",2.44,-8.096389480000001,57344,116736,1,"Goal-v0",2,"continuous",1,688,0.007228189,0.0003,0.2605665326118469,0.2,28.824411392211914,0.9445462226867676,50.33735534101724,270,-5.432692630589008,0.098388671875,-0.0038130642577016262
,,2.72,-7.484121940000001,59392,118784,,,5,"continuous",2,728,0.013962038,0.0003,0.4376187324523926,0.2,8.220967292785645,0.9416409730911255,17.0172526627779,280,-5.419760642945766,0.146533203125,-0.008517201646463945
,,2.59,-7.025368049999998,61440,120832,,,8,"continuous",3,732,0.0077576907,0.0003,0.23697471618652344,0.2,51.419776916503906,0.9421151280403137,65.14472025930881,290,-5.410812471807003,0.08037109375,-0.004272312011744361
10,"PPO-PPO",2.34,-8.09374989,63488,129024,1,"Goal-v0",2,"continuous",1,843,0.010106318,0.0003,0.23897218704223633,0.2,34.084739685058594,0.9382805824279785,67.97894467413425,300,-5.401536002755165,0.11552734375,-0.006141758605372161
,,2.68,-9.028277749999999,65536,131072,,,5,"continuous",2,788,0.0106450245,0.0003,0.3278747797012329,0.2,5.927027225494385,0.9339898228645325,40.654325826466085,310,-5.385181148350239,0.11611328125,-0.01193836635502521
,,2.76,-9.090881490000001,67584,133120,,,7,"continuous",3,769,0.011980203,0.0003,0.2548965811729431,0.2,18.356273651123047,0.929614782333374,56.85756712555885,320,-5.365338757634163,0.155419921875,-0.0048122182153747415
11,"PPO-PPO",2.45,-8.48881967,69632,141312,1,"Goal-v0",2,"continuous",1,802,0.01058168,0.0003,0.310772180557251,0.2,8.720200538635254,0.9197707772254944,43.43942976295948,330,-5.327179023623467,0.120654296875,-0.006504968051740434
,,2.21,-7.458644559999999,71680,143360,,,5,"continuous",2,751,0.009271391,0.0003,0.29329371452331543,0.2,7.0151801109313965,0.9143497347831726,42.98864233195782,340,-5.296960239112377,0.132763671875,-0.005311750392866088
,,2.19,-7.50682087,73728,145408,,,8,"continuous",3,720,0.013909362,0.0003,0.23730015754699707,0.2,29.568897247314453,0.9115490317344666,66.90938090980053,350,-5.273487378656864,0.136279296875,-0.00625877858401509
12,"PPO-PPO",2.19,-6.897836870000001,75776,153600,1,"Goal-v0",2,"continuous",1,788,0.009438054,0.0003,0.23139846324920654,0.2,50.589988708496094,0.903152346611023,73.50805870890618,360,-5.247849605977535,0.07412109375,-0.0018962991940497886
,,2.3,-6.998763049999999,77824,155648,,,5,"continuous",2,754,0.010236879,0.0003,0.2064145803451538,0.2,85.1468734741211,0.897811233997345,102.84512523114681,370,-5.210675303637982,0.11240234375,-0.007169762631201592
,,2.57,-8.701628809999999,79872,157696,,,8,"continuous",3,724,0.013591892,0.0003,0.1896952986717224,0.2,43.11435317993164,0.8928087949752808,87.94208168089389,380,-5.189072279632091,0.167822265625,-0.007459386676782742
13,"PPO-PPO",2.77,-8.897030869999998,81920,165888,1,"Goal-v0",2,"continuous",1,790,0.012613855,0.0003,0.2489699125289917,0.2,6.856282711029053,0.8942023515701294,75.63782342672349,390,-5.1797413811087605,0.15966796875,-0.009509764257563802
,,2.18,-8.3624808,83968,167936,,,5,"continuous",2,747,0.012669228,0.0003,0.23967880010604858,0.2,27.54146385192871,0.8908339738845825,83.4086398869753,400,-5.17500736862421,0.16845703125,-0.009340026744030182
,,2.57,-8.87721623,86016,169984,,,8,"continuous",3,743,0.012058747,0.0003,0.20742207765579224,0.2,45.89310073852539,0.8873019218444824,84.41174907386304,410,-5.154182717204094,0.128369140625,-0.004573231090034824
14,"PPO-PPO",1.37,-7.942999239999999,88064,178176,1,"Goal-v0",3,"continuous",1,602,0.008755846,0.0003,0.21198326349258423,0.2,91.29527282714844,0.8817083835601807,107.99337702989578,420,-5.132384473085404,0.136572265625,-0.004234942721086554
,,1.34,-7.67166426,90112,180224,,,7,"continuous",2,553,0.015344193,0.0003,0.20507293939590454,0.2,29.824373245239258,0.8831273317337036,40.66060949116945,430,-5.1229196563363075,0.189306640625,-0.011886671566753649
,,1.43,-8.0904241,92160,182272,,,11,"continuous",3,554,0.021824315,0.0003,0.2688036561012268,0.2,25.220516204833984,0.8895138502120972,38.628728279471396,440,-5.144436088204384,0.21865234375,-0.009085981755924876
15,"PPO-PPO",1.45,-6.309109149999999,94208,190464,1,"Goal-v0",3,"continuous",1,621,0.012243509,0.0003,0.17751705646514893,0.2,25.352975845336914,0.8797439932823181,81.03375760018825,450,-5.135881796479225,0.14228515625,-0.007744249173265416
,,1.43,-7.905547789999999,96256,192512,,,6,"continuous",2,585,0.015513778,0.0003,0.19953805208206177,0.2,63.65993118286133,0.8688069581985474,56.74570038020611,460,-5.08978710770607,0.183203125,-0.008566074283589842
,,1.33,-6.059750760000001,98304,194560,,,10,"continuous",3,569,0.011485346,0.0003,0.17613422870635986,0.2,47.4033317565918,0.8698703646659851,72.75952949225902,470,-5.065333241224289,0.1642578125,-0.009351350848737639
16,"PPO-PPO",1.43,-9.17580516,100352,202752,1,"Goal-v0",3,"continuous",1,623,0.013869399,0.0003,0.18651235103607178,0.2,82.06033325195312,0.8684002161026001,85.73815789818764,480,-5.061661642789841,0.159521484375,-0.006413549126591533
,,1.45,-6.71101814,102400,204800,,,6,"continuous",2,607,0.011076987,0.0003,0.22194427251815796,0.2,6.394244194030762,0.8653991222381592,78.80848435461522,490,-5.057417795062065,0.14384765625,-0.00403094196371967
,,1.29,-7.5786028,104448,206848,,,10,"continuous",3,584,0.011345582,0.0003,0.2148730754852295,0.2,41.060916900634766,0.8620665073394775,83.17798950076103,500,-5.039191919565201,0.167236328125,-0.009595047576294747
17,"PPO-PPO",1.42,-5.0784464300000005,106496,215040,1,"Goal-v0",3,"continuous",1,568,0.0134308785,0.0003,0.2219746708869934,0.2,26.735836029052734,0.8599078059196472,57.88868682831526,510,-5.022918072342873,0.165283203125,-0.0066744350682711225
,,1.41,-8.77295772,108544,217088,,,7,"continuous",2,566,0.011494461,0.0003,0.20593971014022827,0.2,34.0139045715332,0.8566062450408936,93.232305341959,520,-5.007910570502281,0.140185546875,-0.005977269951836206
,,1.46,-6.434738770000001,110592,219136,,,11,"continuous",3,534,0.017649041,0.0003,0.238669753074646,0.2,5.058742046356201,0.8538694381713867,67.95698390603066,530,-4.992558945715428,0.1837890625,-0.006322833284502849
18,"PPO-PPO",1.31,-6.805273759999999,112640,227328,1,"Goal-v0",3,"continuous",1,566,0.0143454615,0.0003,0.22782975435256958,0.2,41.6405143737793,0.8539628982543945,95.53262972831726,540,-4.982115972042084,0.1630859375,-0.0035122536843118723
,,1.36,-7.177214420000001,114688,229376,,,7,"continuous",2,538,0.008450918,0.0003,0.22317218780517578,0.2,6.517305374145508,0.8590890169143677,59.84740767776966,550,-4.992732267081737,0.133251953125,-0.003400298192718765
,,1.44,-7.201290439999999,116736,231424,,,11,"continuous",3,537,0.014588635,0.0003,0.20105940103530884,0.2,77.73857879638672,0.8527026176452637,103.19724716544151,560,-4.984253416955471,0.137646484375,-0.007410650116798934
19,"PPO-PPO",1.56,-6.094741199999999,118784,239616,1,"Goal-v0",3,"continuous",1,588,0.014084585,0.0003,0.2039501667022705,0.2,60.77948760986328,0.8508361577987671,68.81195726394654,570,-4.967054273188114,0.1423828125,-0.004026467507355846
,,1.46,-7.057061629999998,120832,241664,,,7,"continuous",2,551,0.013534108,0.0003,0.2048749327659607,0.2,42.06635665893555,0.852067232131958,98.06374801695347,580,-4.961065432429313,0.1890625,-0.0036051344708539546
,,1.44,-6.5690485999999995,122880,243712,,,11,"continuous",3,545,0.015090846,0.0003,0.20994389057159424,0.2,27.044790267944336,0.8497982621192932,118.92945306897164,590,-4.95599473118782,0.144482421875,-0.007819362956797703
20,"PPO-PPO",1.5,-6.931976319999999,124928,251904,1,"Goal-v0",3,"continuous",1,526,0.013547292,0.0003,0.203263521194458,0.2,135.45889282226562,0.8439719676971436,139.1397004723549,600,-4.93549418002367,0.14150390625,-0.00550559326657094
,,1.46,-7.2428291300000005,126976,253952,,,7,"continuous",2,516,0.016868949,0.0003,0.26505517959594727,0.2,77.76783752441406,0.8357282876968384,134.41694563031197,610,-4.903736788034439,0.1486328125,-0.007686412367911543
,,1.38,-7.249281249999999,129024,256000,,,12,"continuous",3,507,0.008600141,0.0003,0.19449728727340698,0.2,90.57426452636719,0.8345425128936768,105.18583455979824,620,-4.884578591585159,0.11220703125,-0.0020620422321371732
21,"PPO-PPO",1.42,-5.574879480000001,131072,264192,1,"Goal-v0",3,"continuous",1,565,0.01431868,0.0003,0.2188408374786377,0.2,149.74493408203125,0.8306500911712646,145.2298001050949,630,-4.8712083280086516,0.1869140625,-0.009244078956544399
,,1.44,-4.32936923,133120,266240,,,7,"continuous",2,529,0.012466403,0.0003,0.22904366254806519,0.2,36.18940353393555,0.830966591835022,142.2703204393387,640,-4.8599357679486275,0.140576171875,-0.008061724332947051
,,1.55,-6.68389414,135168,268288,,,11,"continuous",3,522,0.016944472,0.0003,0.22536486387252808,0.2,82.2004623413086,0.8382267355918884,153.5868532538414,650,-4.875279842317104,0.142919921875,-0.008487689879257233
22,"PPO-PPO",1.38,-5.81609345,137216,276480,1,"Goal-v0",3,"continuous",1,532,0.011112513,0.0003,0.20736080408096313,0.2,71.82841491699219,0.8433109521865845,110.35338470339775,660,-4.902149824798107,0.156103515625,-0.008164967634365894
,,1.44,-5.05669967,139264,278528,,,7,"continuous",2,517,0.0136573035,0.0003,0.2022770643234253,0.2,48.45981216430664,0.837831974029541,129.57866964936255,670,-4.898411485552788,0.150732421875,-0.0063293856583186425
,,1.42,-7.010297519999999,141312,280576,,,12,"continuous",3,497,0.009837421,0.0003,0.21248728036880493,0.2,112.63864135742188,0.8305388689041138,132.57677523493766,680,-4.866013094782829,0.151318359375,-0.0027677620932081482
23,"PPO-PPO",1.45,-5.487725760000001,143360,288768,1,"Goal-v0",3,"continuous",1,553,0.010366194,0.0003,0.21994012594223022,0.2,65.4475326538086,0.8229447603225708,155.22579566836356,690,-4.827663910388947,0.109716796875,-0.005093492337618954
,,1.41,-5.148434630000001,145408,290816,,,7,"continuous",2,520,0.008714586,0.0003,0.2417723536491394,0.2,50.54228973388672,0.8154959082603455,147.0363411307335,700,-4.785247790813446,0.110986328125,-0.005671980871557025
,,1.4,-5.728424000000001,147456,292864,,,11,"continuous",3,531,0.012342234,0.0003,0.23599892854690552,0.2,86.21963500976562,0.8166614174842834,156.92915785312653,710,-4.765008607506752,0.149609375,-0.006577634739005589
24,"PPO-PPO",1.45,-3.6492042,149504,301056,1,"Goal-v0",4,"continuous",1,482,0.0106886625,0.0003,0.24293136596679688,0.2,36.90771484375,0.8112980127334595,154.7670307636261,720,-4.747038325667381,0.122216796875,-0.0057234351057559255
,,1.38,-3.1966544000000003,151552,303104,,,8,"continuous",2,487,0.010329769,0.0003,0.28233224153518677,0.2,56.71583557128906,0.8001775741577148,168.8470686674118,730,-4.703111392259598,0.15009765625,-0.006004978410783224
,,1.39,-5.219548380000001,153600,305152,,,13,"continuous",3,470,0.013105349,0.0003,0.23847907781600952,0.2,65.86632537841797,0.796953558921814,177.5468816637993,740,-4.668344542384148,0.12080078125,-0.0032847335722181016
25,"PPO-PPO",1.33,-5.547367479999999,155648,313344,1,"Goal-v0",4,"continuous",1,487,0.012249442,0.0003,0.253991961479187,0.2,76.89588165283203,0.7871237993240356,179.8418226480484,750,-4.631288649141789,0.150732421875,-0.006335983858298278
,,1.41,-3.8960010900000004,157696,315392,,,8,"continuous",2,473,0.012926677,0.0003,0.22761094570159912,0.2,133.348388671875,0.7833802700042725,176.0842472910881,760,-4.597107867896557,0.125927734375,-0.00458097112714313
,,1.52,-4.590009370000001,159744,317440,,,12,"continuous",3,473,0.010205317,0.0003,0.2505635619163513,0.2,137.97793579101562,0.775827944278717,177.72255991697313,770,-4.56102025359869,0.11630859375,-0.003894501533068251
26,"PPO-PPO",1.54,-4.95740433,161792,325632,1,"Goal-v0",3,"continuous",1,521,0.014745571,0.0003,0.2731640934944153,0.2,34.641544342041016,0.773483395576477,181.63002412319184,780,-4.533395403623581,0.162353515625,-0.006096307140978752
,,1.4,-4.27661528,163840,327680,,,8,"continuous",2,511,0.013632334,0.0003,0.22516095638275146,0.2,138.66737365722656,0.7698835730552673,196.73236351013185,790,-4.5123895958065985,0.18251953125,-0.008541997953579994
,,1.4,-5.951812989999999,165888,329728,,,12,"continuous",3,509,0.012410955,0.0003,0.24810224771499634,0.2,72.49665069580078,0.7610898017883301,181.17575949430466,800,-4.476829633116722,0.160302734375,-0.004836762764170999
27,"PPO-PPO",1.46,-3.9438682099999998,167936,337920,1,"Goal-v0",4,"continuous",1,455,0.011261878,0.0003,0.24364346265792847,0.2,69.56329345703125,0.7532578110694885,202.9383957862854,810,-4.435804215073586,0.152392578125,-0.0029757405864074826
,,1.38,-5.843732060000001,169984,339968,,,9,"continuous",2,435,0.018538635,0.0003,0.24646800756454468,0.2,99.95539855957031,0.7412039041519165,172.9899973988533,820,-4.377552090585231,0.152099609375,-0.006206115339591633
,,1.47,-4.4794782799999995,172032,342016,,,13,"continuous",3,443,0.016268793,0.0003,0.22684991359710693,0.2,115.78722381591797,0.7292236685752869,182.07536447048187,830,-4.3079707503318785,0.1357421875,-0.003149832471535774
28,"PPO-PPO",1.42,-5.43859267,174080,350208,1,"Goal-v0",3,"continuous",1,545,0.014027739,0.0003,0.2667229175567627,0.2,111.43279266357422,0.7163679003715515,191.22362270355225,840,-4.23765215575695,0.1822265625,-0.0056906548954430035
,,1.26,-7.126097810000001,176128,352256,,,7,"continuous",2,519,0.011678942,0.0003,0.25071269273757935,0.2,119.07157897949219,0.7117904424667358,197.6232408940792,850,-4.189438465237617,0.143994140625,-0.00483095855161082
,,1.47,-3.4421515499999997,178176,354304,,,12,"continuous",3,506,0.010129405,0.0003,0.23569422960281372,0.2,62.72331619262695,0.7078676223754883,209.31101533174515,860,-4.161572860181332,0.151220703125,0.0005381762435717974
29,"PPO-PPO",1.4,-3.99874419,180224,362496,1,"Goal-v0",3,"continuous",1,528,0.023289291,0.0003,0.2627671957015991,0.2,88.90570831298828,0.7024219036102295,218.55680298805237,870,-4.131882865726948,0.1453125,-0.0033009956780006176
