custom/cycle,custom/agent_name,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/pamdp_timestep,custom/seed,custom/env,time/time_elapsed,custom/agent_type,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/std,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
,,1.36,-4.7085824899999995,182272,364544,,,8,"continuous",2,498,0.016008008,0.0003,0.29059553146362305,0.2,105.83191680908203,0.7023916840553284,187.54448229074478,880,-4.1106625020504,0.162255859375,-0.006157351048022975
,,1.41,-3.5662894,184320,366592,,,12,"continuous",3,485,0.01767205,0.0003,0.27752578258514404,0.2,104.42404174804688,0.6959090232849121,196.3200005888939,890,-4.081927020847798,0.179931640625,-0.0032055778166977687
30,"PPO-PPO",1.4,-4.03677071,186368,374784,1,"Goal-v0",3,"continuous",1,512,0.012878805,0.0003,0.3009337782859802,0.2,106.93309783935547,0.691444993019104,182.5966595172882,900,-4.052142551541328,0.166748046875,-0.009379570656165015
,,1.26,-5.7287187799999995,188416,376832,,,8,"continuous",2,488,0.017210428,0.0003,0.2553582191467285,0.2,108.1101303100586,0.6908159852027893,200.8112395644188,910,-4.030249617993832,0.15791015625,-0.0019541922869393603
,,1.43,-6.0998791300000015,190464,378880,,,12,"continuous",3,492,0.011621142,0.0003,0.32269352674484253,0.2,75.67158508300781,0.6846510767936707,182.8265984416008,920,-3.999865987896919,0.153271484375,-0.002325529570225626
31,"PPO-PPO",1.32,-4.253249800000001,192512,387072,1,"Goal-v0",3,"continuous",1,523,0.012517801,0.0003,0.3003941774368286,0.2,96.97138214111328,0.6803632974624634,215.07412202358245,930,-3.9631505385041237,0.156884765625,-0.005253893752524164
,,1.33,-3.6510190899999997,194560,389120,,,8,"continuous",2,506,0.017910147,0.0003,0.2703508734703064,0.2,93.77874755859375,0.679503321647644,216.59850032329558,940,-3.938563673943281,0.160595703125,-0.005121869129652623
,,1.31,-6.06924577,196608,391168,,,12,"continuous",3,507,0.0098637175,0.0003,0.34669947624206543,0.2,105.06953430175781,0.6762993931770325,208.39573311805725,950,-3.9148619078099727,0.13828125,-0.00011347398012730991
32,"PPO-PPO",1.36,-4.6787446500000005,198656,399360,1,"Goal-v0",3,"continuous",1,514,0.01242125,0.0003,0.2797764539718628,0.2,60.00206756591797,0.6724199056625366,205.09838916063308,960,-3.8890630841255187,0.148583984375,-0.005613268454908393
,,1.49,-5.31915882,200704,401408,,,8,"continuous",2,468,0.016071722,0.0003,0.31988972425460815,0.2,133.73626708984375,0.666776180267334,197.1445748567581,970,-3.8553671441972255,0.159814453125,-0.003238367519224994
,,1.36,-4.51153535,202752,403456,,,13,"continuous",3,471,0.012527862,0.0003,0.33810025453567505,0.2,106.28636169433594,0.6684128046035767,186.16338272094725,980,-3.833052746206522,0.142431640625,-0.0004524495372606907
33,"PPO-PPO",1.49,-1.03066988,204800,411648,1,"Goal-v0",4,"continuous",1,506,0.015481286,0.0003,0.3483157157897949,0.2,63.57120132446289,0.664202094078064,209.68743340969087,990,-3.802566773444414,0.191748046875,-0.007477391829888802
,,1.27,-4.129394759999999,206848,413696,,,8,"continuous",2,500,0.015199492,0.0003,0.28080493211746216,0.2,117.73700714111328,0.6652970910072327,206.53888602256774,1000,-3.7786924332380294,0.15107421875,0.0004103320636204444
,,1.41,-6.572189829999998,208896,415744,,,12,"continuous",3,497,0.010444456,0.0003,0.3287612795829773,0.2,117.93887329101562,0.6679446697235107,229.28509478569032,1010,-3.778158335387707,0.162841796875,-0.0024304707869305274
34,"PPO-PPO",1.47,-2.416434599999999,210944,423936,1,"Goal-v0",4,"continuous",1,493,0.012517231,0.0003,0.3517215847969055,0.2,84.04672241210938,0.6619482636451721,223.7515827894211,1020,-3.759032405167818,0.169873046875,-0.0011327400236041286
,,1.37,-1.5567514199999999,212992,425984,,,8,"continuous",2,491,0.012983836,0.0003,0.275903582572937,0.2,95.48564910888672,0.6591967344284058,212.67353333234786,1030,-3.727958499640226,0.1470703125,-0.0006619054329348728
,,1.47,-3.99552079,215040,428032,,,12,"continuous",3,484,0.012637872,0.0003,0.32278382778167725,0.2,134.45521545410156,0.6527860760688782,201.9129898905754,1040,-3.688340274244547,0.184619140625,-0.0009573316754540428
35,"PPO-PPO",1.47,-2.8173821100000005,217088,436224,1,"Goal-v0",3,"continuous",1,526,0.014719129,0.0003,0.3805633783340454,0.2,79.49362182617188,0.6517576575279236,204.6301105260849,1050,-3.6645385064184666,0.1666015625,-0.004164431944082026
,,1.46,-3.2107826799999994,219136,438272,,,8,"continuous",2,499,0.014935222,0.0003,0.33937764167785645,0.2,108.22059631347656,0.6450822353363037,235.35103118419647,1060,-3.6404996290802956,0.147607421875,-0.0024758650979492813
,,1.44,-3.0925634000000004,221184,440320,,,12,"continuous",3,495,0.018149547,0.0003,0.3432266116142273,0.2,118.262939453125,0.6441293954849243,231.61787993907927,1070,-3.6177080385386944,0.169091796875,-0.005017384399252478
36,"PPO-PPO",1.39,-5.362397049999999,223232,448512,1,"Goal-v0",4,"continuous",1,483,0.012719169,0.0003,0.35240769386291504,0.2,98.8474349975586,0.6375008821487427,221.16788284778596,1080,-3.5897586666047574,0.150830078125,-0.0015048229892272503
,,1.42,-2.68278916,225280,450560,,,8,"continuous",2,485,0.018021803,0.0003,0.3068695664405823,0.2,86.76923370361328,0.6326489448547363,229.23991904258727,1090,-3.5514000207185745,0.16953125,-0.003482792675276869
,,1.57,-1.3943833099999998,227328,452608,,,12,"continuous",3,487,0.027094826,0.0003,0.3555055856704712,0.2,74.6812744140625,0.6294426918029785,222.9784015417099,1100,-3.5210558004677295,0.172802734375,-0.0018726958893239497
37,"PPO-PPO",1.38,-3.4799715399999998,229376,460800,1,"Goal-v0",4,"continuous",1,506,0.015525764,0.0003,0.3685418367385864,0.2,92.86186218261719,0.6212587952613831,199.07059996128083,1110,-3.47299759760499,0.17978515625,-0.0028041686236974783
,,1.57,-3.16604538,231424,462848,,,8,"continuous",2,482,0.0133592095,0.0003,0.38347887992858887,0.2,126.78372955322266,0.6180300116539001,226.21924064159393,1120,-3.4314397655427458,0.172021484375,-0.0035984067770186813
,,1.5,-1.4909863600000006,233472,464896,,,12,"continuous",3,472,0.013333377,0.0003,0.3598005175590515,0.2,143.6124267578125,0.6183499097824097,208.99648535251617,1130,-3.4170586600899697,0.174267578125,-0.0015437204023328378
38,"PPO-PPO",1.37,-3.6894063000000004,235520,473088,1,"Goal-v0",4,"continuous",1,511,0.011776324,0.0003,0.3091026544570923,0.2,101.45903015136719,0.6116569638252258,198.54941780567168,1140,-3.3912811785936356,0.159765625,-0.0015666270555811934
,,1.4,0.3748944099999998,237568,475136,,,8,"continuous",2,499,0.02143462,0.0003,0.31988686323165894,0.2,113.66075897216797,0.6112080812454224,225.68090822696686,1150,-3.365957433730364,0.189794921875,-0.0015226293300656835
,,1.23,-5.53482477,239616,477184,,,12,"continuous",3,491,0.014917711,0.0003,0.37140709161758423,0.2,157.503662109375,0.6055142879486084,231.7024027109146,1160,-3.3400309517979623,0.169921875,-0.001587348805333022
39,"PPO-PPO",1.64,2.7596890099999998,241664,485376,1,"Goal-v0",4,"continuous",1,485,0.012440201,0.0003,0.3208863139152527,0.2,99.7218017578125,0.6048662066459656,228.95588653087617,1170,-3.320713163912296,0.183203125,-0.001301253335259389
,,1.41,-0.3062488099999999,243712,487424,,,8,"continuous",2,479,0.014553338,0.0003,0.34636086225509644,0.2,88.56829071044922,0.6022481322288513,243.09333720207215,1180,-3.3066707246005533,0.185546875,-0.0031604922012775207
,,1.31,-2.4748306899999997,245760,489472,,,12,"continuous",3,479,0.022863314,0.0003,0.35978561639785767,0.2,110.9743881225586,0.5989189147949219,217.07982203960418,1190,-3.2751354560256005,0.19248046875,-0.0002951683389255777
40,"PPO-PPO",1.43,-0.9787522200000001,247808,497664,1,"Goal-v0",4,"continuous",1,449,0.021447822,0.0003,0.318681001663208,0.2,106.0775375366211,0.5962759256362915,226.33989882469177,1200,-3.2450078032910823,0.197802734375,-0.002257206500507891
,,1.57,0.23121303000000004,249856,499712,,,8,"continuous",2,456,0.019519314,0.0003,0.36907249689102173,0.2,139.20947265625,0.5910626649856567,246.0655343770981,1210,-3.20831478908658,0.20380859375,-0.0010092971271660645
,,1.42,-2.6598073700000002,251904,501760,,,13,"continuous",3,452,0.021856807,0.0003,0.35595816373825073,0.2,100.25346374511719,0.5871615409851074,261.6721475124359,1220,-3.1813962653279306,0.183642578125,-9.426888209418394e-05
41,"PPO-PPO",1.34,-3.1933727900000006,253952,509952,1,"Goal-v0",5,"continuous",1,408,0.014199464,0.0003,0.3568993806838989,0.2,134.64495849609375,0.580032229423523,213.1196266412735,1230,-3.132514648884535,0.1990234375,-0.0033248576248297466
,,1.42,-1.00262184,256000,512000,,,10,"continuous",2,409,0.015766216,0.0003,0.38870352506637573,0.2,74.12667083740234,0.5791691541671753,218.83246033191682,1240,-3.089466867595911,0.21669921875,-0.001046389259863645
,,1.51,-2.3844803600000004,258048,514048,,,15,"continuous",3,393,0.012866767,0.0003,0.38852787017822266,0.2,138.2768096923828,0.5771837830543518,241.19498710632325,1250,-3.0850166641175747,0.197265625,-0.0015086150913703022
42,"PPO-PPO",1.4,-3.0521162100000008,260096,522240,1,"Goal-v0",5,"continuous",1,367,0.018340094,0.0003,0.3739073872566223,0.2,85.8647232055664,0.5737190246582031,222.43922255039215,1260,-3.06768506616354,0.153076171875,0.0009034053320647218
,,1.42,-1.0527504899999998,262144,524288,,,10,"continuous",2,380,0.01843355,0.0003,0.3512114882469177,0.2,83.17280578613281,0.5740863680839539,218.352570104599,1270,-3.04428276643157,0.193359375,-0.00012938185827806591
,,1.39,-2.8956034799999997,264192,526336,,,16,"continuous",3,379,0.011463343,0.0003,0.34128814935684204,0.2,64.35264587402344,0.5716536641120911,246.43584353923796,1280,-3.0378514103591443,0.1796875,-0.0007860648940550164
43,"PPO-PPO",1.46,-1.7246392599999998,266240,534528,1,"Goal-v0",5,"continuous",1,397,0.015382537,0.0003,0.3257732391357422,0.2,149.14300537109375,0.5676185488700867,225.12765030860902,1290,-3.0132421515882015,0.203515625,0.0006563892573467455
,,1.43,-3.8186155499999996,268288,536576,,,10,"continuous",2,392,0.012819165,0.0003,0.3718811273574829,0.2,89.70577239990234,0.5662122964859009,217.79369142055512,1300,-2.988078049570322,0.19990234375,0.0012441028302419
,,1.4,-2.8626631999999996,270336,538624,,,15,"continuous",3,393,0.01514068,0.0003,0.3876248598098755,0.2,105.17530822753906,0.5631303191184998,252.43812589645387,1310,-2.967835407704115,0.179248046875,0.0007322974241105839
44,"PPO-PPO",1.4,-1.79977149,272384,546816,1,"Goal-v0",4,"continuous",1,434,0.030287895,0.0003,0.3944540023803711,0.2,156.0666046142578,0.5576136708259583,235.66005883216857,1320,-2.9485046580433845,0.24013671875,-0.006448234005074482
,,1.4,-2.7217619099999997,274432,548864,,,9,"continuous",2,418,0.009804678,0.0003,0.39164531230926514,0.2,129.84307861328125,0.5540521144866943,256.3708877801895,1330,-2.9276187852025033,0.162744140625,-0.0001952902995981276
,,1.32,-4.255673409999999,276480,550912,,,14,"continuous",3,410,0.014944777,0.0003,0.3834596276283264,0.2,121.62410736083984,0.5564879775047302,234.9054645061493,1340,-2.916354485601187,0.193505859375,-0.0022680970891087783
45,"PPO-PPO",1.37,-0.2971743900000001,278528,559104,1,"Goal-v0",4,"continuous",1,443,0.023798985,0.0003,0.38843387365341187,0.2,72.48363494873047,0.5499361157417297,222.43908469676973,1350,-2.8924021497368813,0.213330078125,-0.0011905598024895881
,,1.24,-4.693644819999999,280576,561152,,,9,"continuous",2,420,0.024840571,0.0003,0.42427879571914673,0.2,85.30519104003906,0.5453687906265259,214.2772275209427,1360,-2.855019411444664,0.218798828125,-0.005955661869666074
,,1.44,-1.8934840400000008,282624,563200,,,14,"continuous",3,410,0.03517564,0.0003,0.42666661739349365,0.2,84.8426513671875,0.5457359552383423,236.6170529127121,1370,-2.84196318089962,0.18955078125,0.002282822398410644
46,"PPO-PPO",1.41,-0.8323872999999997,284672,571392,1,"Goal-v0",5,"continuous",1,406,0.020324856,0.0003,0.38794130086898804,0.2,67.11029815673828,0.5430988073348999,226.9532886505127,1380,-2.8306709326803685,0.1673828125,0.0018607481266371905
,,1.35,-4.33584592,286720,573440,,,10,"continuous",2,398,0.015141461,0.0003,0.3538958430290222,0.2,120.00829315185547,0.5471866130828857,240.46753702163696,1390,-2.830775612592697,0.192431640625,0.002823192709183786
,,1.43,-0.2081640300000001,288768,575488,,,15,"continuous",3,394,0.01178354,0.0003,0.3550158143043518,0.2,161.5250244140625,0.5425506234169006,236.44890756607055,1400,-2.813556137681007,0.16611328125,0.0027132862116559407
47,"PPO-PPO",1.38,-1.7545640900000001,290816,583680,1,"Goal-v0",4,"continuous",1,417,0.019532446,0.0003,0.36812275648117065,0.2,115.97518920898438,0.5385860204696655,221.70000007152558,1410,-2.766278351098299,0.226171875,0.0036818019972997716
,,1.5,1.4869124600000003,292864,585728,,,10,"continuous",2,407,0.017969262,0.0003,0.3960089683532715,0.2,86.36770629882812,0.5412141680717468,230.2321249485016,1420,-2.7501661136746405,0.198974609375,0.0025617986379074865
,,1.43,-1.0194826700000001,294912,587776,,,14,"continuous",3,415,0.015044399,0.0003,0.3419108986854553,0.2,79.23467254638672,0.5373662710189819,226.3339076280594,1430,-2.7386948347091673,0.20546875,-0.0033238366260775363
48,"PPO-PPO",1.34,0.7520317400000003,296960,595968,1,"Goal-v0",4,"continuous",1,426,0.030706018,0.0003,0.3853321075439453,0.2,52.34949493408203,0.5318421721458435,218.3419463634491,1440,-2.697250892221928,0.197607421875,0.00018164471257477998
,,1.39,0.017716979999999688,299008,598016,,,9,"continuous",2,423,0.03509646,0.0003,0.37975579500198364,0.2,143.2803192138672,0.5274090766906738,249.87052648067476,1450,-2.6424875646829604,0.201904296875,-0.0037545061713899486
,,1.41,-1.8391571500000001,301056,600064,,,14,"continuous",3,419,0.021855682,0.0003,0.37104177474975586,0.2,152.13327026367188,0.5215787887573242,248.4935831785202,1460,-2.594772519916296,0.191748046875,0.002716925762069877
49,"PPO-PPO",1.31,-4.12639371,303104,608256,1,"Goal-v0",4,"continuous",1,459,0.015277241,0.0003,0.37897419929504395,0.2,109.41605377197266,0.5168712139129639,244.76484105587005,1470,-2.552629379183054,0.2279296875,0.004566773483384167
,,1.31,-4.87866248,305152,610304,,,9,"continuous",2,421,0.019506138,0.0003,0.4256971478462219,0.2,84.26898193359375,0.518203616142273,218.62181024551393,1480,-2.5391472093760967,0.228369140625,-0.00024162454647012055
,,1.23,-3.5238854,307200,612352,,,14,"continuous",3,422,0.031374343,0.0003,0.34429997205734253,0.2,139.38201904296875,0.5188054442405701,209.9040615797043,1490,-2.533967125415802,0.244677734375,0.0044495525435195304
50,"PPO-PPO",1.28,-4.1783735,309248,620544,1,"Goal-v0",4,"continuous",1,468,0.019555219,0.0003,0.4317982792854309,0.2,83.30647277832031,0.5177255272865295,205.7921626329422,1500,-2.526755332201719,0.198388671875,-0.00350341324465262
,,1.36,-4.491111739999999,311296,622592,,,9,"continuous",2,446,0.019236282,0.0003,0.41355395317077637,0.2,136.83932495117188,0.5125582218170166,236.60876936912535,1510,-2.500241906940937,0.2271484375,0.0037755383709736634
,,1.45,0.96387968,313344,624640,,,14,"continuous",3,436,0.017260455,0.0003,0.3434816598892212,0.2,137.88064575195312,0.507790207862854,229.08098504543304,1520,-2.4609529547393323,0.201123046875,-0.002935135626466945
51,"PPO-PPO",1.26,-4.93516546,315392,632832,1,"Goal-v0",4,"continuous",1,447,0.021637267,0.0003,0.3784724473953247,0.2,93.08613586425781,0.5054857730865479,214.10961303710937,1530,-2.4391541056334973,0.214990234375,0.002832640809356235
,,1.45,-4.71720037,317440,634880,,,9,"continuous",2,436,0.018045703,0.0003,0.38308030366897583,0.2,89.50886535644531,0.5027233362197876,229.9280886888504,1540,-2.4347749814391135,0.223095703125,0.0005018185431254097
,,1.28,-4.2143821599999995,319488,636928,,,14,"continuous",3,432,0.0262012,0.0003,0.3508269190788269,0.2,93.17768096923828,0.50065678358078,208.33918833732605,1550,-2.4242911875247954,0.21845703125,0.0007979486988915596
52,"PPO-PPO",1.33,-2.52357569,321536,645120,1,"Goal-v0",4,"continuous",1,438,0.020750798,0.0003,0.35940587520599365,0.2,87.67655944824219,0.497300922870636,239.70029520988464,1560,-2.4107791021466256,0.2375,0.0015062790058436803
,,1.46,-0.12703129000000044,323584,647168,,,9,"continuous",2,415,0.0149785,0.0003,0.4148736596107483,0.2,81.3553695678711,0.4952870011329651,221.98845858573912,1570,-2.397374540567398,0.1794921875,0.0045312248643313065
,,1.46,-2.17377508,325632,649216,,,15,"continuous",3,403,0.027016073,0.0003,0.3658429980278015,0.2,123.74365234375,0.49131667613983154,234.48833818435668,1580,-2.3737954989075662,0.22197265625,0.004420715796004515
53,"PPO-PPO",1.41,-1.47057779,327680,657408,1,"Goal-v0",4,"continuous",1,431,0.023474066,0.0003,0.4085921049118042,0.2,171.80577087402344,0.49054810404777527,214.08377578258515,1590,-2.3496606796979904,0.22197265625,0.001652403157640947
,,1.36,-0.7622914800000001,329728,659456,,,9,"continuous",2,419,0.01748041,0.0003,0.40591949224472046,0.2,82.5421371459961,0.4903326630592346,223.10945837497712,1600,-2.3369875513017178,0.19814453125,-0.00045172097088652663
,,1.4,0.21200958,331776,661504,,,14,"continuous",3,414,0.020022774,0.0003,0.4230009913444519,0.2,68.27584838867188,0.4926454424858093,237.18579516410827,1610,-2.3349090464413167,0.205712890625,0.002435922458244022
54,"PPO-PPO",1.44,-0.3456067699999999,333824,669696,1,"Goal-v0",4,"continuous",1,431,0.019322103,0.0003,0.38102346658706665,0.2,147.02972412109375,0.4930967688560486,231.6869749069214,1620,-2.3267631977796555,0.241748046875,0.0062348834195290696
,,1.31,-2.8266598299999997,335872,671744,,,9,"continuous",2,412,0.027282983,0.0003,0.4067944288253784,0.2,117.10420989990234,0.4896083474159241,257.7142878293991,1630,-2.3055400222539904,0.1904296875,0.0020574853115249425
,,1.3,-3.5145266300000007,337920,673792,,,14,"continuous",3,413,0.029035963,0.0003,0.39394354820251465,0.2,99.28450012207031,0.4873995780944824,250.0277070760727,1640,-2.288310880213976,0.226123046875,0.0005222826213866938
55,"PPO-PPO",1.37,-1.60916287,339968,681984,1,"Goal-v0",4,"continuous",1,439,0.01915592,0.0003,0.3639618754386902,0.2,87.2850570678711,0.48749086260795593,249.84609129428864,1650,-2.280609580129385,0.22275390625,0.0007653888038475998
,,1.4,-3.51398299,342016,684032,,,9,"continuous",2,417,0.025002595,0.0003,0.4208449721336365,0.2,148.27574157714844,0.48771458864212036,208.95130207538605,1660,-2.280657610297203,0.207666015625,0.00380348044418497
,,1.32,-1.8866915999999998,344064,686080,,,14,"continuous",3,418,0.026204862,0.0003,0.39924609661102295,0.2,52.4317512512207,0.49201905727386475,229.58139684200287,1670,-2.2787110775709154,0.21083984375,0.0005605488899163902
56,"PPO-PPO",1.43,0.20759965000000022,346112,694272,1,"Goal-v0",4,"continuous",1,440,0.021207176,0.0003,0.4503355622291565,0.2,92.44992065429688,0.4870729446411133,210.50959045886992,1680,-2.259352105110884,0.225244140625,-0.006315737313707359
,,1.2,-3.20794037,348160,696320,,,9,"continuous",2,437,0.023001976,0.0003,0.40986692905426025,0.2,90.8551254272461,0.4828658103942871,229.30885286331176,1690,-2.2133518517017365,0.23896484375,0.005394618716672994
,,1.49,4.0617355900000005,350208,698368,,,14,"continuous",3,423,0.021713095,0.0003,0.41845518350601196,0.2,46.72416687011719,0.4802849292755127,206.0991209745407,1700,-2.177463697642088,0.228076171875,0.007096382389136124
57,"PPO-PPO",1.34,-3.43961714,352256,706560,1,"Goal-v0",4,"continuous",1,437,0.02293171,0.0003,0.4240472912788391,0.2,138.52029418945312,0.4798831343650818,260.1619220495224,1710,-2.1502813659608364,0.23447265625,-0.000982154573284788
,,1.4,-0.4759641699999996,354304,708608,,,9,"continuous",2,421,0.027517706,0.0003,0.3819754719734192,0.2,111.45700073242188,0.4807114005088806,240.78215839862824,1720,-2.142503799498081,0.236474609375,-0.000205309058947023
,,1.44,-1.1759066000000002,356352,710656,,,14,"continuous",3,421,0.02263342,0.0003,0.4010579586029053,0.2,88.14297485351562,0.4761950373649597,237.0032788515091,1730,-2.1263964675366878,0.2498046875,0.002072135564230848
58,"PPO-PPO",1.38,-2.1082099999999997,358400,718848,1,"Goal-v0",4,"continuous",1,430,0.019834325,0.0003,0.4362226128578186,0.2,95.4068832397461,0.48020845651626587,230.05159904956818,1740,-2.1111643932759763,0.242138671875,0.0053618963858752975
,,1.32,-2.04336996,360448,720896,,,10,"continuous",2,407,0.022513602,0.0003,0.4159529209136963,0.2,43.294090270996094,0.4776402711868286,227.91453433036804,1750,-2.1041037321090696,0.237451171875,0.008231665069615701
,,1.34,-0.43088838999999945,362496,722944,,,15,"continuous",3,398,0.028602531,0.0003,0.40531545877456665,0.2,100.35991668701172,0.47894227504730225,237.83297131061553,1760,-2.0974001117050647,0.22490234375,0.0004228999190672766
